feature,importance
calificacion_promedio,0.12578628204902323
match_categoria,0.09766750126025384
gasto_total_cop,0.08194320102246351
duracion_horas,0.0686853748008179
edad,0.06823157969393541
num_visitas_total,0.05875012721122011
precio_entrada_cop,0.05086473480733252
mes,0.04751292260286705
capacidad_max_dia,0.04557563555898727
ocupacion_estimada,0.035105525791810505
temp_max_prom,0.034505767375658046
altitud_msnm,0.03292918092442089
precip_prom,0.032357593616137964
categoria_favorita_enc,0.032355650829351344
clima_dia_visita_enc,0.028738700997096907
viaja_con_enc,0.02720666486742113
nivel_act_num,0.020386307537667233
dificultad_num,0.018611313807130964
categoria_enc,0.017287890995504394
presupuesto_preferido_enc,0.016946402088744227
clima_predominante_enc,0.012391303230161466
temporada_enc,0.011534657932205934
clima_favorable,0.01131637088174345
es_fin_semana,0.010698834656883247
actividad_compatible,0.006405017743987119
es_festivo,0.004245588165126616
precio_compatible,0.0019598695520477104
